ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
BARRANQUILLA,SOCIEDAD PORTUARIA MICHELLMAR S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,239,0,0,0,2023,8
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,CONTENEDORES,0,0,0,0,1389,0,0,0,2022,7
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,GENERAL,0,0,0,0,1278,0,0,0,2019,9
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,0,71867,0,0,0,0,0,0,2019,6
CARTAGENA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,0,1096,0,0,0,0,0,0,2022,4
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,127,0,0,0,2018,1
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,4856,0,0,2023,12
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,5081,0,0,2018,6
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GENERAL,10481,0,0,0,0,340,0,0,2024,3
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,PUBLICO,CONTENEDORES,64461,130848,4758,0,0,0,0,0,2021,4
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GENERAL,4498,0,0,0,0,768,0,0,2023,12
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,7228,0,0,2023,8
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,98737,0,0,0,0,0,0,0,2020,1
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,0,0,0,0,855,0,0,2020,6
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GENERAL,76150,11514,0,0,0,0,0,0,2022,6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,PUBLICO,CONTENEDORES,0,22,0,0,0,0,0,0,2024,6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,PUBLICO,GENERAL,489,1677,0,0,0,0,0,0,2024,9
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,19,0,0,0,1401,0,0,2020,4
